sector,rank,name,url,cmp,pe,market_cap,div_yield,net_profit_qtr,qtr_profit_var,sales_qtr,qtr_sales_var,roce
Cement & Cement Products,2,UltraTech Cem.,https://www.screener.in/company/ULTRACEMCO/consolidated/,11253.0,54.21,331599.5,0.62,2474.79,7.44,23063.32,12.95,10.93
Cement & Cement Products,3,Grasim Inds,https://www.screener.in/company/GRASIM/consolidated/,2571.2,46.21,175026.82,0.39,2973.26,-3.01,44267.26,17.34,7.6
Cement & Cement Products,4,Ambuja Cements,https://www.screener.in/company/AMBUJACEM/consolidated/,555.35,33.02,136802.0,0.36,1282.24,-3.56,9888.61,11.18,10.5
Cement & Cement Products,5,Shree Cement,https://www.screener.in/company/SHREECEM/consolidated/,29486.0,94.71,106346.44,0.35,574.99,-14.9,5532.02,2.43,6.74
Cement & Cement Products,6,J K Cements,https://www.screener.in/company/JKCEMENT/consolidated/,5877.15,57.46,45404.56,0.26,361.33,68.44,3581.18,15.31,13.93
Cement & Cement Products,7,Dalmia BharatLtd,https://www.screener.in/company/DALBHARAT/consolidated/,2112.1,50.88,39615.68,0.43,439.0,38.1,4091.0,-5.02,5.97
Cement & Cement Products,8,ACC,https://www.screener.in/company/ACC/consolidated/,1902.4,15.49,35739.82,0.39,751.04,-11.6,6066.52,12.16,17.44
Cement & Cement Products,9,The Ramco Cement,https://www.screener.in/company/RAMCOCEM/consolidated/,1005.0,232.4,23732.04,0.25,25.65,-84.57,2397.27,-10.49,4.76
Cement & Cement Products,10,Nuvoco Vistas,https://www.screener.in/company/NUVOCO/consolidated/,363.5,594.44,12982.6,0.0,165.54,64.96,3042.25,3.71,3.95
Cement & Cement Products,11,Birla Corpn.,https://www.screener.in/company/BIRLACORPN/consolidated/,1385.2,32.82,10667.43,0.73,256.6,51.83,2814.91,6.05,7.05
Chemicals & Petrochemicals,2,Pidilite Inds.,https://www.screener.in/company/PIDILITIND/consolidated/,3049.1,74.09,155186.12,0.52,427.52,25.89,3141.14,8.25,29.86
Chemicals & Petrochemicals,3,Solar Industries,https://www.screener.in/company/SOLARINDS/consolidated/,16542.8,123.78,149705.56,0.05,346.11,37.09,2166.55,34.51,36.82
Chemicals & Petrochemicals,4,SRF,https://www.screener.in/company/SRF/consolidated/,3114.4,73.86,92386.94,0.23,526.06,24.6,4313.34,20.83,12.28
Chemicals & Petrochemicals,5,Linde India,https://www.screener.in/company/LINDEINDIA/,7439.0,141.52,63373.91,0.05,117.9,13.01,591.88,-6.06,17.02
Chemicals & Petrochemicals,6,Gujarat Fluoroch,https://www.screener.in/company/FLUOROCHEM/consolidated/,3657.9,73.6,40182.06,0.08,191.0,89.11,1225.0,8.12,21.41
Chemicals & Petrochemicals,7,Deepak Nitrite,https://www.screener.in/company/DEEPAKNTR/consolidated/,1941.1,37.94,26456.55,0.39,202.5,3.35,2179.69,2.52,16.61
Chemicals & Petrochemicals,8,Himadri Special,https://www.screener.in/company/HSCL/consolidated/,496.6,44.18,24521.15,0.12,155.46,34.99,1134.64,-3.59,22.01
Chemicals & Petrochemicals,9,Tata Chemicals,https://www.screener.in/company/TATACHEM/consolidated/,934.1,89.37,23820.17,1.18,-49.0,-114.13,3509.0,0.98,4.15
Chemicals & Petrochemicals,10,Navin Fluo.Intl.,https://www.screener.in/company/NAVINFLUOR/consolidated/,4431.0,76.17,21979.8,0.27,94.96,34.94,700.94,16.44,11.68
Chemicals & Petrochemicals,11,Atul,https://www.screener.in/company/ATUL/consolidated/,7352.0,44.72,21643.64,0.27,130.13,116.57,1451.64,19.76,12.72
Gas,2,GAIL (India),https://www.screener.in/company/GAIL/consolidated/,191.15,11.9,125696.22,3.4,2505.61,0.93,36442.09,11.25,14.0
Gas,3,Adani Total Gas,https://www.screener.in/company/ATGL/consolidated/,679.8,114.13,74765.14,0.04,154.59,-7.96,1341.26,14.94,17.47
Gas,4,Petronet LNG,https://www.screener.in/company/PETRONET/consolidated/,306.25,11.56,45930.05,3.27,1094.9,43.23,12315.75,-10.71,25.57
Gas,5,Gujarat Gas,https://www.screener.in/company/GUJGASLTD/consolidated/,476.7,28.56,32815.58,1.2,287.88,-21.98,4102.01,-0.78,19.16
Gas,6,Indraprastha Gas,https://www.screener.in/company/IGL/consolidated/,209.85,17.16,29397.38,2.15,453.21,4.6,3950.84,9.84,21.43
Gas,7,Aegis Logistics,https://www.screener.in/company/AEGISLOG/consolidated/,799.65,48.53,28052.06,0.81,159.52,-4.52,1706.99,-8.88,14.74
Gas,8,Guj.St.Petronet,https://www.screener.in/company/GSPL/consolidated/,328.7,16.69,18551.22,1.52,352.25,-50.56,4290.52,-5.33,15.04
Gas,9,Mahanagar Gas,https://www.screener.in/company/MGL/,1331.0,12.49,13147.44,2.21,252.19,-4.83,1864.85,19.0,24.48
Gas,10,Confidence Petro,https://www.screener.in/company/CONFIPET/consolidated/,59.74,22.96,1979.52,0.17,27.32,129.84,924.81,46.67,9.48
Gas,11,IRM Energy,https://www.screener.in/company/IRMENERGY/consolidated/,299.0,27.15,1227.69,0.49,4.39,-51.11,267.86,25.02,8.51
Finance,2,Bajaj Finance,https://www.screener.in/company/BAJFINANCE/consolidated/,9373.05,35.02,582569.26,0.47,4545.57,17.13,18456.85,23.65,11.29
Finance,3,Bajaj Finserv,https://www.screener.in/company/BAJAJFINSV/consolidated/,1989.4,35.84,317950.74,0.05,4756.32,14.07,36595.36,14.21,10.96
Finance,4,I R F C,https://www.screener.in/company/IRFC/,146.35,29.41,191257.59,1.09,1681.87,-2.06,6723.23,3.83,5.83
Finance,5,Jio Financial,https://www.screener.in/company/JIOFIN/consolidated/,293.95,115.81,186754.81,0.0,316.11,1.76,493.24,17.97,1.47
Finance,6,Bajaj Holdings,https://www.screener.in/company/BAJAJHLDNG/consolidated/,14250.0,24.33,158610.61,0.65,1750.79,-36.47,145.26,-88.01,9.94
Finance,7,Power Fin.Corpn.,https://www.screener.in/company/PFC/consolidated/,418.8,6.02,138208.26,3.78,8357.88,12.31,29265.03,21.22,9.73
Finance,8,Cholaman.Inv.&Fn,https://www.screener.in/company/CHOLAFIN/consolidated/,1593.65,31.41,133896.73,0.13,1259.54,18.24,7045.57,30.23,10.34
Finance,9,Shriram Finance,https://www.screener.in/company/SHRIRAMFIN/consolidated/,688.65,15.59,129512.41,1.31,2143.77,10.69,11454.23,20.78,10.97
Finance,10,REC Ltd,https://www.screener.in/company/RECLTD/consolidated/,415.3,6.88,109357.8,3.86,4309.98,5.66,15333.54,20.95,9.96
Finance,11,Bajaj Housing,https://www.screener.in/company/BAJAJHFL/,125.7,48.39,104737.46,0.0,586.68,53.85,2507.96,25.62,9.54
Pharmaceuticals & Biotechnology,2,Sun Pharma.Inds.,https://www.screener.in/company/SUNPHARMA/consolidated/,1679.95,35.15,403040.36,0.8,2153.93,-13.13,12958.84,8.14,20.19
Pharmaceuticals & Biotechnology,3,Divi's Lab.,https://www.screener.in/company/DIVISLAB/consolidated/,6547.45,79.32,173770.97,0.46,662.0,23.05,2585.0,12.24,20.44
Pharmaceuticals & Biotechnology,4,Cipla,https://www.screener.in/company/CIPLA/consolidated/,1500.6,23.0,121214.22,0.86,1214.14,30.29,6729.69,9.19,23.3
Pharmaceuticals & Biotechnology,5,Dr Reddy's Labs,https://www.screener.in/company/DRREDDY/consolidated/,1320.5,19.49,110249.63,0.61,1586.7,21.14,8528.4,19.89,23.13
Pharmaceuticals & Biotechnology,6,Torrent Pharma.,https://www.screener.in/company/TORNTPHARM/consolidated/,3151.3,55.27,106573.19,1.01,498.0,14.78,2959.0,7.8,27.22
Pharmaceuticals & Biotechnology,7,Mankind Pharma,https://www.screener.in/company/MANKIND/consolidated/,2352.9,48.85,97097.3,0.0,424.65,-9.86,3079.37,27.13,17.93
Pharmaceuticals & Biotechnology,8,Zydus Lifesci.,https://www.screener.in/company/ZYDUSLIFE/consolidated/,960.45,20.72,96653.85,0.31,1243.7,6.44,6527.9,17.96,24.44
Pharmaceuticals & Biotechnology,9,Lupin,https://www.screener.in/company/LUPIN/consolidated/,1994.0,27.75,91060.51,0.4,782.38,114.93,5667.13,14.24,21.53
Pharmaceuticals & Biotechnology,10,Aurobindo Pharma,https://www.screener.in/company/AUROPHARMA/consolidated/,1160.25,19.52,67983.53,0.39,902.83,-7.19,8382.12,10.58,14.27
Pharmaceuticals & Biotechnology,11,Abbott India,https://www.screener.in/company/ABBOTINDIA/,31500.0,47.31,66927.05,1.31,367.04,27.86,1604.59,11.54,46.23
"Paper, Forest & Jute Products",2,A B Real Estate,https://www.screener.in/company/ABREL/consolidated/,2359.35,,26396.91,0.21,-135.2,-162.95,394.76,-51.52,-0.12
"Paper, Forest & Jute Products",3,JK Paper,https://www.screener.in/company/JKPAPER/consolidated/,374.4,15.5,6351.74,2.27,77.18,-72.36,1689.5,-1.69,9.42
"Paper, Forest & Jute Products",4,West Coast Paper,https://www.screener.in/company/WSTCSTPAPR/consolidated/,496.8,10.56,3281.32,1.64,46.15,-63.28,1041.29,-2.69,11.19
"Paper, Forest & Jute Products",5,Bio Green Papers,https://www.screener.in/company/534535/consolidated/,155.55,51.38,1811.1,0.0,12.91,16237.5,153.85,,25.96
"Paper, Forest & Jute Products",6,Seshasayee Paper,https://www.screener.in/company/SESHAPAPER/consolidated/,281.1,16.3,1779.34,0.89,27.07,-52.38,502.35,-6.87,7.04
"Paper, Forest & Jute Products",7,Andhra Paper,https://www.screener.in/company/ANDHRAPAP/,76.96,17.22,1530.95,2.6,7.85,-79.56,407.37,11.8,6.38
"Paper, Forest & Jute Products",8,T N Newsprint,https://www.screener.in/company/TNPL/,163.85,303.35,1131.5,2.44,22.12,-32.95,1336.77,8.73,5.84
"Paper, Forest & Jute Products",9,Pudumjee Paper,https://www.screener.in/company/PDMJEPAPER/,115.75,11.48,1099.09,0.53,18.85,-49.6,190.08,-7.42,23.79
"Paper, Forest & Jute Products",10,Kuantum Papers,https://www.screener.in/company/KUANTUM/,113.05,8.53,982.57,2.65,26.12,-22.93,277.35,-7.19,11.12
"Paper, Forest & Jute Products",11,Pakka,https://www.screener.in/company/PAKKA/,181.8,14.37,817.14,0.0,12.57,46.33,92.16,-2.56,13.61
Auto Components,2,Samvardh. Mothe.,https://www.screener.in/company/MOTHERSON/consolidated/,157.5,29.14,110843.02,0.54,1115.38,-23.41,29316.83,8.35,13.94
Auto Components,3,Bosch,https://www.screener.in/company/BOSCHLTD/,31557.8,46.26,93074.39,1.19,553.7,-1.91,4910.6,16.0,21.11
Auto Components,4,Schaeffler India,https://www.screener.in/company/SCHAEFFLER/,4269.4,65.72,66729.97,0.66,265.41,16.58,2110.02,14.1,25.67
Auto Components,5,Uno Minda,https://www.screener.in/company/UNOMINDA/consolidated/,1088.0,66.72,62509.81,0.21,289.24,-1.18,4528.32,19.35,18.88
Auto Components,6,Bharat Forge,https://www.screener.in/company/BHARATFORG/consolidated/,1296.2,61.52,61967.41,0.69,282.63,22.54,3852.6,-7.48,13.09
Auto Components,7,MRF,https://www.screener.in/company/MRF/consolidated/,139975.0,31.72,59303.3,0.14,512.11,29.29,7074.82,11.43,13.59
Auto Components,8,Tube Investments,https://www.screener.in/company/TIINDIA/consolidated/,3064.0,87.38,59286.53,0.11,158.19,-75.44,5149.96,14.7,21.55
Auto Components,9,Balkrishna Inds,https://www.screener.in/company/BALKRISIND/consolidated/,2500.0,29.25,48399.15,0.64,368.55,-24.28,2752.38,2.63,18.09
Auto Components,10,Endurance Tech.,https://www.screener.in/company/ENDURANCE/consolidated/,2484.5,42.29,34947.71,0.35,245.13,12.13,2963.49,10.38,18.21
Auto Components,11,Exide Inds.,https://www.screener.in/company/EXIDEIND/consolidated/,393.0,42.03,33413.54,0.51,187.91,1.15,4335.42,3.89,8.87
Non - Ferrous Metals,2,Hindustan Zinc,https://www.screener.in/company/HINDZINC/,502.2,20.5,211979.91,5.77,2976.0,45.74,9041.0,19.75,60.81
Non - Ferrous Metals,3,Hindalco Inds.,https://www.screener.in/company/HINDALCO/consolidated/,649.85,8.78,146024.56,0.54,5284.0,66.3,64890.0,15.89,15.21
Non - Ferrous Metals,4,Natl. Aluminium,https://www.screener.in/company/NATIONALUM/consolidated/,188.45,6.57,34601.84,4.24,2067.23,203.24,5267.83,47.19,43.96
Non - Ferrous Metals,5,Hindustan Copper,https://www.screener.in/company/HINDCOPPER/,255.95,52.75,24717.86,0.36,190.54,53.28,731.4,29.37,23.99
Non - Ferrous Metals,6,Dec.Gold Mines,https://www.screener.in/company/512068/consolidated/,153.1,,2402.46,0.0,11.82,117.54,0.47,-85.45,-21.11
Non - Ferrous Metals,7,Maan Aluminium,https://www.screener.in/company/MAANALU/,124.9,43.47,674.28,0.0,3.94,-45.88,245.86,3.56,10.73
Non - Ferrous Metals,8,MMP Industries,https://www.screener.in/company/MMP/consolidated/,251.5,16.46,638.92,0.6,10.86,8.49,223.12,39.3,14.22
Non - Ferrous Metals,9,Arfin India,https://www.screener.in/company/539151/,27.33,50.39,461.11,0.0,0.54,-75.23,153.37,12.11,13.97
Non - Ferrous Metals,10,Euro Panel,https://www.screener.in/company/EUROBOND/,162.5,21.6,398.13,0.0,10.71,34.55,223.52,8.54,15.92
Non - Ferrous Metals,11,PG Foils,https://www.screener.in/company/526747/,287.0,10.69,338.51,0.0,10.58,27.62,151.46,122.44,3.4
Commercial Services & Supplies,2,Firstsour.Solu.,https://www.screener.in/company/FSL/consolidated/,372.4,44.83,26329.73,1.07,160.69,20.37,2161.46,29.39,14.78
